attrib-name,AARD,ADAMTSL4,ARHGEF10,BCAS1,CCND1,CEP57,CNDP1,CSMD1,CYP24A1,DNAH9,DOK5,EIF3H,ENSA,FGF19,GABRG3,GOLPH3L,HORMAD1,LATS1,MAP2K4,MCL1,ORAOV1,PFDN4,POU5F1B,PSMG4,RAD21,RCBTB2
TCGA-AO-A0JI,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,-1,0,0,0,1,1,0,1,-1
TCGA-B6-A409,2,2,-1,2,0,0,-1,-1,2,-1,2,2,2,0,-1,2,2,1,-1,2,0,2,2,1,2,-1
TCGA-EW-A1PA,0,0,-1,2,1,-1,0,-1,2,-1,2,0,0,1,0,0,0,0,-1,0,1,2,0,0,0,-1
TCGA-C8-A1HO,1,0,-1,0,1,-1,-1,-1,0,-1,0,1,0,1,0,0,0,-1,-1,0,1,0,1,1,1,-1
TCGA-A2-A3XX,1,1,0,1,-1,-1,1,-2,1,1,1,1,1,-1,-1,1,1,1,1,1,-1,1,1,1,1,-1
TCGA-AR-A1AL,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
TCGA-BH-A1FC,1,2,-1,-1,1,1,0,-2,-1,1,-1,1,2,1,-1,2,2,-1,1,2,1,-1,1,1,1,-2
TCGA-GM-A3NW,0,1,-1,0,2,-1,0,-1,0,0,0,0,1,2,0,1,1,0,0,1,2,0,0,0,0,-1
TCGA-AQ-A54O,1,1,-1,2,1,-1,-1,-1,2,-1,2,1,1,1,-1,1,1,-1,-1,1,1,2,1,-1,1,-1
TCGA-D8-A27V,1,1,1,0,0,-1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,-1
TCGA-AR-A2LR,1,1,-1,1,1,0,-1,-2,1,0,1,1,1,1,-1,1,1,0,0,1,1,1,1,1,1,0
TCGA-A2-A0T1,2,0,-1,0,1,-1,0,-1,0,-1,0,2,0,1,0,0,0,0,-1,0,1,0,1,0,2,0
TCGA-B6-A400,1,2,1,1,1,1,0,1,1,0,1,1,2,1,1,2,2,0,0,2,1,1,1,1,1,-1
TCGA-BH-A1FG,2,0,-1,0,0,0,0,-1,0,-1,0,2,0,0,0,0,0,0,-1,0,0,0,2,0,2,0
TCGA-D8-A1XW,2,1,0,1,1,1,0,0,1,0,1,2,1,1,0,1,1,0,0,1,1,1,2,0,2,0
TCGA-AO-A03L,0,1,0,1,2,-1,-1,0,1,1,1,0,1,2,-1,1,1,-1,1,1,2,1,0,-1,0,-1
TCGA-D8-A1XR,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,-1
TCGA-E2-A1B5,1,0,-1,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,1,0
TCGA-A2-A4S2,1,1,1,1,0,-1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,-1
TCGA-E9-A1RI,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,-1,-1,0,-1,0,0,0,0,0
TCGA-D8-A27I,1,1,1,1,0,-1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,-1
TCGA-A2-A1FZ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
TCGA-A7-A0CH,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
TCGA-OL-A5RV,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
TCGA-PE-A5DE,-1,1,-1,1,0,0,-1,-1,1,-1,1,-1,1,0,0,1,1,-1,-1,1,0,1,-1,1,-1,0
TCGA-D8-A1JS,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
TCGA-GI-A2C8,0,1,0,1,2,0,-1,0,1,-1,1,0,1,2,0,1,1,0,-2,1,2,1,0,-1,0,0
TCGA-E2-A1L7,1,1,-1,1,0,0,1,-1,1,-1,1,1,1,0,-1,1,1,1,-1,1,0,1,2,-1,1,0
TCGA-D8-A1XT,0,0,-1,0,0,0,0,-1,0,-1,2,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0
TCGA-A2-A0T5,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0
TCGA-AR-A24H,2,1,-1,2,-1,-1,-1,-1,2,-1,2,2,1,-1,-1,1,1,1,-1,1,-1,2,2,-1,2,0
TCGA-E2-A15K,0,1,-1,1,2,-1,0,-1,1,0,1,0,1,2,0,1,1,0,0,1,2,1,0,0,0,0
TCGA-E9-A1RF,1,1,-2,1,1,-1,-1,-2,1,-1,1,1,1,1,-1,1,1,-1,-2,1,1,1,0,1,1,1
TCGA-A7-A13E,1,1,-1,1,-1,-1,1,-1,1,0,1,1,1,-1,-1,1,1,0,0,1,-1,1,1,0,1,-1
TCGA-OL-A66K,0,1,0,0,-1,-1,0,0,0,1,0,0,1,-1,-1,1,1,0,1,1,-1,0,0,0,0,-2
TCGA-GM-A2DC,2,1,1,1,0,0,1,0,1,-1,1,2,1,0,0,1,1,-1,-1,1,0,1,2,-1,2,-1
TCGA-OL-A5RX,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
TCGA-LL-A50Y,0,1,-1,0,0,0,0,-1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
TCGA-B6-A40C,1,1,-1,0,0,0,0,-1,0,0,0,1,1,0,-1,1,1,-1,0,1,0,0,1,1,1,0
TCGA-AO-A12G,1,1,-1,0,1,-1,0,-1,0,-1,0,1,1,1,0,1,1,0,-1,1,1,0,1,0,1,-1
TCGA-BH-A1F6,1,1,-2,1,0,0,-1,-2,1,-1,1,1,1,0,-1,1,1,0,-1,1,0,1,1,0,1,-1
TCGA-E9-A229,0,0,-1,2,0,-1,0,-1,2,-1,1,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0
TCGA-A2-A1G6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-A2-A0YG,1,2,0,1,0,0,-1,0,1,-1,1,1,2,0,0,2,2,0,-1,2,0,1,1,1,1,0
TCGA-BH-A202,2,1,2,1,1,1,0,2,1,-1,1,2,1,1,0,1,1,0,-1,1,1,1,2,0,2,-1
TCGA-EW-A1OV,0,1,-1,0,0,0,0,-1,0,-1,0,0,1,0,-1,1,1,1,-1,1,0,0,0,1,0,-1
TCGA-AO-A03N,0,1,-1,1,0,0,-1,-1,1,-1,1,0,1,0,0,1,1,-1,-1,1,0,1,0,1,0,-1
TCGA-E9-A3QA,2,2,-1,0,1,-1,-1,-1,0,-1,0,2,2,1,-1,2,2,0,-1,2,1,0,2,-1,2,-1
TCGA-AR-A1AR,0,2,1,-1,0,0,0,-1,-1,-1,-1,0,2,0,-1,2,2,0,-1,2,0,-1,0,0,0,-1
TCGA-GM-A5PV,1,1,-1,0,0,0,0,-1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0
TCGA-BH-A0W3,-1,1,-1,0,2,1,-1,-1,0,0,0,-1,1,2,0,1,1,-1,0,1,2,0,-1,-1,-1,-1
TCGA-A2-A0SV,1,1,-1,2,0,0,-1,-1,2,-1,1,1,1,0,-1,1,1,-1,-1,1,0,2,1,-1,1,-1
TCGA-BH-A1ES,1,0,1,0,1,-1,0,2,0,-1,0,1,0,1,-1,0,0,-1,-1,0,1,0,1,-1,1,0
TCGA-A2-A0YF,0,1,0,0,2,-1,0,0,0,0,0,0,1,2,0,1,1,0,0,1,2,0,0,0,0,0
TCGA-AC-A23E,1,1,1,0,-1,-1,0,1,0,-1,0,1,1,-1,-1,1,1,1,-1,1,-1,0,1,1,1,-1
TCGA-AO-A0JA,0,1,1,0,0,-1,-1,1,0,-1,0,0,1,0,0,1,1,0,-1,1,0,0,0,0,0,0
TCGA-D8-A1XZ,2,-1,-1,1,-1,-1,0,-1,1,-1,1,2,-1,-1,-1,-1,-1,1,-1,-1,-1,1,2,1,2,1
TCGA-BH-A0HP,0,1,0,0,0,-1,0,0,0,-1,0,0,1,0,-1,1,1,0,-1,1,0,0,0,0,0,0
TCGA-E9-A295,1,1,1,1,2,-2,-1,1,1,-1,1,1,1,2,-1,1,1,0,-1,1,2,1,1,1,1,-1
TCGA-A2-A25C,0,1,0,0,0,-1,-1,0,0,0,0,0,1,0,1,1,1,-1,0,1,0,0,0,1,0,0
TCGA-E9-A24A,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
TCGA-B6-A0WV,0,1,-1,1,2,0,-1,-1,1,-1,1,0,1,2,-1,1,1,-1,-1,1,2,1,0,-1,0,-1
TCGA-E9-A1NH,-1,1,-1,0,-1,-1,-1,-1,0,-1,0,-1,1,-1,0,1,1,0,-1,1,-1,0,-1,0,-1,-1
TCGA-A2-A0T4,0,1,0,0,2,-1,-1,0,0,-1,0,0,1,2,0,1,1,0,-1,1,2,0,0,-1,0,-1
TCGA-AR-A5QP,1,1,1,0,0,0,0,1,0,-1,0,1,1,0,0,1,1,0,-1,1,0,0,1,0,1,0
TCGA-E2-A1II,1,1,-1,1,1,1,0,-1,1,-1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1
TCGA-AR-A2LK,1,1,-1,1,2,-1,0,-1,1,-1,1,1,1,2,-1,1,1,0,-1,1,2,1,1,0,1,-1
TCGA-D8-A1XO,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,0,0,1,0,0,0,0,0,0
TCGA-A1-A0SF,1,1,0,1,0,0,0,0,1,-1,1,1,1,0,-1,1,1,0,-1,1,0,1,1,0,1,0
TCGA-B6-A1KC,1,1,-1,1,0,0,1,-1,1,1,1,1,1,0,-1,1,1,-1,1,1,0,1,1,1,1,-1
TCGA-AN-A0XT,0,0,0,0,0,-1,-1,-2,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1
TCGA-AR-A5QN,1,2,-1,0,0,0,0,-1,0,0,0,1,2,0,0,2,2,0,0,2,0,0,1,0,1,0
TCGA-BH-A0DS,2,1,1,0,0,0,1,1,0,0,0,2,1,0,1,1,1,0,0,1,0,0,2,0,2,0
TCGA-GM-A2DI,0,0,0,1,-1,-1,0,0,1,-1,1,0,0,-1,0,0,0,0,-1,0,-1,1,0,0,0,0
TCGA-AC-A5EH,-1,0,-1,1,0,0,-1,-1,1,-2,1,-1,0,0,0,0,0,-1,-2,0,0,1,-1,-1,-1,0
TCGA-BH-A0C3,0,2,0,0,2,-1,0,0,0,0,0,0,2,2,0,2,2,-1,0,2,2,0,0,-1,0,0
TCGA-D8-A1JA,0,1,0,0,0,0,-1,0,0,-1,0,0,1,0,0,1,1,0,-1,1,0,0,0,0,0,-1
TCGA-E9-A1N9,2,1,-1,1,2,-1,0,-1,1,-1,1,2,1,2,-1,1,1,0,-1,1,2,1,2,1,2,-1
TCGA-EW-A1PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A1IW,0,1,0,0,2,-1,-1,0,0,-1,0,0,1,2,0,1,1,0,-1,1,2,0,0,-1,0,-1
TCGA-A2-A25A,0,0,0,0,1,0,0,0,0,-1,0,0,0,1,0,0,0,-1,-1,0,1,0,0,0,0,0
TCGA-B6-A402,2,1,-1,1,-1,-1,-1,-2,1,-1,1,2,1,-1,-1,1,1,1,-1,1,-1,1,2,1,2,0
TCGA-AR-A24K,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,-1,1,-1
TCGA-C8-A1HF,0,0,0,0,-1,-1,0,0,0,-2,0,0,0,-1,-1,0,0,0,-2,0,-1,0,0,0,0,-1
TCGA-B6-A2IU,1,1,1,0,0,0,-1,1,0,0,0,1,1,0,0,1,1,-1,0,1,0,0,1,0,1,-1
TCGA-GM-A2DA,1,0,-1,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,1,0
TCGA-BH-A0BF,1,1,0,1,1,1,0,0,1,-1,1,1,1,1,0,1,1,-1,-1,1,1,1,1,-1,1,0
TCGA-A2-A0YD,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0
TCGA-BH-A1FM,1,1,0,1,0,0,-1,0,1,-2,1,1,1,0,-2,1,1,-1,-2,1,0,1,1,-1,1,1
TCGA-A7-A5ZW,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0
TCGA-AO-A12E,1,0,0,1,2,-1,-1,0,1,1,1,1,0,2,0,0,0,0,1,0,2,1,1,0,1,-1
TCGA-AQ-A04H,1,1,0,1,2,0,-1,0,1,-1,1,1,1,2,-1,1,1,0,-1,1,2,1,1,0,1,-1
TCGA-E9-A3Q9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
TCGA-B6-A0RU,2,1,-1,1,-1,-1,2,-1,1,-1,1,2,1,-1,-1,1,1,-1,-1,1,-1,1,2,1,2,-1
TCGA-AN-A0XL,1,1,-1,1,1,-1,0,-1,1,-1,1,1,1,1,0,1,1,0,-1,1,1,1,1,0,1,-1
TCGA-EW-A1P6,1,0,-1,1,0,0,0,-1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0
TCGA-A2-A3XV,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0
TCGA-AR-A1AW,1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,-1,-1,1,1,0,1,1,-1,1,1,0,1,-1
TCGA-A2-A0T2,1,2,1,1,0,0,1,1,1,0,1,1,2,0,0,2,2,0,0,2,0,1,1,1,1,0
TCGA-E2-A3DX,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
TCGA-EW-A1J5,0,1,-1,1,2,-1,0,-1,1,-1,1,0,1,2,0,1,1,-1,-1,1,2,1,0,0,0,0
TCGA-B6-A0X5,2,0,-1,0,0,0,0,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,-1
TCGA-AO-A0JE,2,1,0,1,1,1,0,-1,1,-1,1,2,1,1,0,1,1,0,-1,1,1,1,2,0,2,-1
TCGA-OK-A5Q2,0,1,0,0,0,-1,0,-2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
TCGA-D8-A1JC,1,1,-1,2,2,-1,-1,-1,2,-1,2,1,1,2,0,1,1,1,-1,1,2,2,1,-1,1,-1
TCGA-GM-A5PX,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,-1
TCGA-C8-A278,2,0,-1,1,1,1,-1,-1,1,-1,1,2,0,1,-1,0,0,0,-1,0,1,1,2,0,2,-1
TCGA-EW-A1PD,2,0,-1,0,0,-1,0,-1,0,-1,0,2,0,0,0,0,0,0,-1,0,0,0,2,0,2,0
TCGA-BH-A0WA,1,0,-2,0,0,-1,-1,-2,0,-1,0,1,0,0,-2,0,0,-1,-1,0,0,0,2,1,1,-1
TCGA-BH-A0B6,2,1,-1,1,0,0,1,-1,1,-1,1,2,1,0,-1,1,1,1,-1,1,0,1,1,1,2,-1
TCGA-GM-A3XN,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,-1,0,2,0,0,0,0,0,0
TCGA-A2-A0T7,1,1,-1,-1,0,-1,-1,-1,-1,-1,0,1,1,0,-1,1,1,-1,-1,1,0,-1,1,0,1,0
TCGA-GM-A2DF,1,1,-1,1,1,0,0,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1,-1
TCGA-AC-A2QH,2,0,1,1,-1,-1,1,-2,1,2,1,2,0,-1,1,0,0,0,2,0,-1,1,2,1,2,-1
TCGA-D8-A1XS,2,1,-1,2,2,-1,0,-1,2,-1,2,2,1,2,-1,1,1,0,-1,1,2,2,2,0,2,0
TCGA-EW-A1P7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2
TCGA-A1-A0SP,1,1,0,1,0,-1,1,-2,1,-1,1,1,1,0,1,1,1,1,-1,1,0,1,1,-1,1,-1
TCGA-A7-A26G,1,0,-1,1,1,-1,0,-2,1,-1,1,1,0,1,1,0,0,0,-1,0,1,1,1,1,1,-1
TCGA-AO-A1KT,2,1,-1,1,2,-1,-1,-1,1,0,1,2,1,2,-1,1,1,-1,0,1,2,1,2,-1,2,-1
TCGA-AR-A1AN,0,1,-1,1,1,0,0,-1,1,-1,1,0,1,1,-1,1,1,0,-1,1,1,1,1,0,0,0
TCGA-B6-A0RG,2,2,-1,1,0,-1,-1,-1,1,-1,1,2,2,0,-1,2,2,-1,-1,2,0,1,2,2,2,-1
TCGA-C8-A26Y,0,2,0,2,-1,-1,-1,0,2,-1,2,0,2,-1,-1,2,2,-1,-1,2,-1,2,0,0,0,-1
TCGA-BH-A42T,0,2,2,0,2,2,0,2,0,-1,0,0,2,2,0,2,2,0,-1,2,2,0,0,0,0,0
TCGA-A7-A5ZX,0,1,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,1,0,-1,1,0,0,0,0,0,0
TCGA-BH-A0H0,1,1,-1,0,-1,-1,0,-2,0,-1,0,1,1,-1,0,1,1,-1,-1,1,-1,0,1,0,1,-1
TCGA-A7-A0CE,1,2,-2,0,-1,0,0,-2,0,0,0,1,2,-1,-2,2,2,0,0,2,-1,0,1,1,1,-2
TCGA-E9-A1R4,1,-1,0,1,0,0,1,0,1,-1,1,1,1,0,-1,1,1,-1,-1,-1,0,1,1,0,1,0
TCGA-A2-A0SX,1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,0,1,1,0,-1,1,-1,1,1,0,1,0
TCGA-D8-A1J9,1,1,-1,0,1,1,-1,-1,0,-1,0,1,1,1,-1,1,1,0,-1,1,1,0,1,0,1,-1
TCGA-A7-A5ZV,1,1,0,1,1,0,-1,-1,1,0,1,1,1,1,-1,1,1,0,0,1,1,1,1,-1,1,0
TCGA-A2-A25B,1,1,0,1,-1,-1,-1,0,1,-1,1,1,1,-1,2,1,1,-1,-1,1,-1,1,1,1,1,0
TCGA-A2-A3XU,1,1,-1,-1,0,0,-1,-2,-1,1,-1,1,1,0,-1,1,1,0,1,1,0,-1,1,0,1,-1
TCGA-AR-A256,2,2,-1,1,0,0,0,-1,1,-1,1,2,2,0,-1,2,2,-1,-1,2,0,1,2,-2,2,0
TCGA-AC-A5XU,2,0,0,1,2,-1,1,-1,1,-1,1,2,0,2,-1,0,0,1,-1,0,2,1,2,1,2,1
TCGA-EW-A2FW,0,1,0,1,1,-1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0
TCGA-E9-A22E,1,1,-1,1,0,-1,-1,-1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,-1,1,-1
TCGA-E9-A5UP,1,1,-1,1,-1,-1,1,-1,1,-1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,1,-1,1,-1
TCGA-A7-A26H,1,1,-1,0,0,0,0,-1,0,-2,0,1,1,0,0,1,1,0,-2,1,0,0,1,0,1,0
TCGA-A2-A4RX,1,0,1,1,0,0,0,1,1,-1,1,1,0,0,0,0,0,1,-1,0,0,1,1,0,1,-1
TCGA-AC-A3YI,2,0,-2,0,0,0,0,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0
TCGA-A2-A0CK,0,1,0,0,2,-1,0,0,0,-1,0,0,1,2,0,1,1,0,-1,1,2,0,0,0,0,0
TCGA-EW-A1P8,1,2,-1,-1,1,1,-1,-1,-1,-1,-1,1,2,1,-1,2,2,1,-1,2,1,-1,1,1,1,-1
TCGA-BH-A1EN,2,1,-1,1,-1,-1,-1,-1,1,0,1,2,1,-1,-1,1,1,-1,0,1,-1,1,2,1,2,-1
TCGA-A2-A0SW,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,-1,1,1,0,-1,1,1,1,1,0,1,-1
TCGA-E9-A248,1,0,-1,1,0,0,-1,-1,1,0,1,1,0,0,-1,0,0,-1,0,0,0,1,1,0,1,-1
TCGA-E2-A1LE,1,0,-1,0,0,0,-1,-1,0,-1,0,1,0,0,1,0,0,1,-1,0,0,0,1,0,1,0
TCGA-OL-A5D6,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0
TCGA-AQ-A1H3,1,1,1,0,0,0,0,1,0,-1,0,1,1,0,0,1,1,0,-1,1,0,0,1,0,1,0
TCGA-A2-A0EP,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-EW-A2FR,0,1,-1,2,1,-1,-1,-1,2,-1,2,0,1,1,-1,1,1,0,-1,1,1,2,0,0,0,0
TCGA-BH-A0RX,1,1,-1,1,0,0,0,-1,1,0,1,1,1,0,-1,1,1,0,0,1,0,1,1,1,1,-1
TCGA-E9-A1RH,2,1,-2,2,0,0,-2,-2,2,-1,2,2,1,0,-1,1,1,-1,-2,1,0,2,2,0,2,0
TCGA-D8-A27P,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0,0,0,0,0
TCGA-OL-A5S0,2,1,-1,0,-1,-1,-1,-2,0,-1,0,2,1,-1,-1,1,1,-1,-1,1,-1,0,2,1,2,-1
TCGA-AO-A0JJ,0,1,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,1,-1,-1,1,0,0,0,-1,0,-1
TCGA-E2-A14N,2,1,-2,0,0,0,0,-2,0,0,0,2,1,0,-1,1,1,0,0,1,0,0,2,1,2,-1
TCGA-AO-A129,2,2,-1,1,0,0,-1,-1,1,-1,0,2,2,0,-1,2,2,1,-1,2,0,1,2,1,2,-1
TCGA-D8-A1XU,2,1,-1,2,-1,-1,-1,-1,2,-1,2,1,1,-1,-1,1,1,1,-1,1,-1,2,1,-1,1,-1
TCGA-A1-A0SN,1,1,-1,2,2,-1,0,-1,2,-1,2,1,1,2,1,1,1,-1,-1,1,2,2,1,0,1,-1
TCGA-AR-A1AU,2,0,0,2,1,-1,0,0,2,-1,1,2,0,1,0,0,0,-1,-1,0,1,2,2,-1,2,0
TCGA-A2-A0YT,2,1,-1,1,2,-1,-1,-1,1,-1,1,2,1,2,0,1,1,-1,-1,1,2,1,2,1,2,-1
TCGA-BH-A0DH,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,1,1,-1
TCGA-E2-A1LI,1,1,-1,1,0,0,-1,-1,1,-1,1,1,1,0,-2,1,1,0,-1,1,0,1,1,1,1,0
TCGA-A2-A0YL,0,1,0,0,0,0,-1,0,0,-1,0,0,1,0,0,1,1,0,-1,1,0,0,0,0,0,-1
